combo_id,events,n_events,n_rows,train_exit_code,selected_model,selected_mae,passed_train,early_stopped,rel_mae_focus,rel_mae_overall,n_eval_rows,model_dir,search_mode,round_k
09279a2e626d,2011_queensland_floods|2012_us_droughts|2017_british_columbia_wildfires|2017_hurricane_maria|2018_sweden_wildfires|2018_us_china_tariffs,6,185,0,catboost,0.2005152605744008,True,True,0.280448663638376,,0,/Users/nataliewang/Projects/supplychain-OSINT/src/shocks/combo_search_runs/combo_09279a2e626d/model,beam,6
e6583f25e44a,2011_queensland_floods|2012_us_droughts|2017_british_columbia_wildfires|2018_sweden_wildfires|2018_us_china_tariffs|2019_amazon_forest_fires,6,203,0,catboost,0.18391823682576172,True,True,0.2388031926868001,,0,/Users/nataliewang/Projects/supplychain-OSINT/src/shocks/combo_search_runs/combo_e6583f25e44a/model,beam,6
93e706a5ba81,2011_queensland_floods|2012_us_droughts|2017_british_columbia_wildfires|2018_sweden_wildfires|2018_us_china_tariffs|2019_brumadinho_dam_collapse,6,164,0,catboost,0.20689172828137722,True,True,0.21431047460185312,,0,/Users/nataliewang/Projects/supplychain-OSINT/src/shocks/combo_search_runs/combo_93e706a5ba81/model,beam,6
ee3d3e19b0b9,2011_queensland_floods|2012_us_droughts|2017_british_columbia_wildfires|2018_sweden_wildfires|2018_us_china_tariffs|2019_saudi_aramco_attack,6,189,0,rf,0.2400528884677807,True,True,0.41358641377038263,,0,/Users/nataliewang/Projects/supplychain-OSINT/src/shocks/combo_search_runs/combo_ee3d3e19b0b9/model,beam,6
5c93250fbed6,2011_queensland_floods|2012_us_droughts|2017_british_columbia_wildfires|2018_sweden_wildfires|2018_us_china_tariffs|2020_china_covid,6,170,0,catboost,0.19743306681384257,True,True,0.2798933991597445,,0,/Users/nataliewang/Projects/supplychain-OSINT/src/shocks/combo_search_runs/combo_5c93250fbed6/model,beam,6
9b73c809399e,2011_thailand_floods|2012_us_droughts|2017_british_columbia_wildfires|2018_sweden_wildfires|2018_us_china_tariffs|2019_amazon_forest_fires,6,226,0,catboost,0.06621393768675736,True,True,0.3209161117120133,,0,/Users/nataliewang/Projects/supplychain-OSINT/src/shocks/combo_search_runs/combo_9b73c809399e/model,beam,6
b6f8ab593cf1,2012_us_droughts|2014_indonesia_mineral_export_ban|2017_british_columbia_wildfires|2018_sweden_wildfires|2018_us_china_tariffs|2019_amazon_forest_fires,6,180,0,rf,0.07708902719925492,True,True,0.3744081448055152,,0,/Users/nataliewang/Projects/supplychain-OSINT/src/shocks/combo_search_runs/combo_b6f8ab593cf1/model,beam,6
31db9e450c06,2012_us_droughts|2014_russia_crimea_sanctions|2017_british_columbia_wildfires|2018_sweden_wildfires|2018_us_china_tariffs|2019_amazon_forest_fires,6,187,0,catboost,0.07295831839814504,True,True,0.372051377161576,,0,/Users/nataliewang/Projects/supplychain-OSINT/src/shocks/combo_search_runs/combo_31db9e450c06/model,beam,6
31b5b73f758f,2012_us_droughts|2015_samarco_dam_collapse|2017_british_columbia_wildfires|2018_sweden_wildfires|2018_us_china_tariffs|2019_amazon_forest_fires,6,214,0,catboost,0.10374092636860356,True,True,0.3579813771818796,,0,/Users/nataliewang/Projects/supplychain-OSINT/src/shocks/combo_search_runs/combo_31b5b73f758f/model,beam,6
ceab20d8fb51,2012_us_droughts|2015_tianjin_explosion|2017_british_columbia_wildfires|2018_sweden_wildfires|2018_us_china_tariffs|2019_amazon_forest_fires,6,227,0,gbrt,0.08786537533580074,True,True,0.3651981156682123,,0,/Users/nataliewang/Projects/supplychain-OSINT/src/shocks/combo_search_runs/combo_ceab20d8fb51/model,beam,6
8838c6b5e254,2012_us_droughts|2017_british_columbia_wildfires|2017_hurricane_maria|2018_sweden_wildfires|2018_us_china_tariffs|2019_amazon_forest_fires,6,203,0,rf,0.08265791934072005,True,True,0.3738050496878892,,0,/Users/nataliewang/Projects/supplychain-OSINT/src/shocks/combo_search_runs/combo_8838c6b5e254/model,beam,6
9822c46d2245,2012_us_droughts|2017_british_columbia_wildfires|2018_sweden_wildfires|2018_us_china_tariffs|2019_amazon_forest_fires|2019_brumadinho_dam_collapse,6,182,0,rf,0.08918828436338844,True,True,0.35757327433813757,,0,/Users/nataliewang/Projects/supplychain-OSINT/src/shocks/combo_search_runs/combo_9822c46d2245/model,beam,6
fb0b042d7cef,2012_us_droughts|2017_british_columbia_wildfires|2018_sweden_wildfires|2018_us_china_tariffs|2019_amazon_forest_fires|2019_saudi_aramco_attack,6,207,0,xgboost,0.1307567726712394,True,True,0.3581182274876855,,0,/Users/nataliewang/Projects/supplychain-OSINT/src/shocks/combo_search_runs/combo_fb0b042d7cef/model,beam,6
543d7915dcaf,2012_us_droughts|2017_british_columbia_wildfires|2018_sweden_wildfires|2018_us_china_tariffs|2019_amazon_forest_fires|2020_china_covid,6,188,0,rf,0.0838083569485989,True,True,0.39248436576831197,,0,/Users/nataliewang/Projects/supplychain-OSINT/src/shocks/combo_search_runs/combo_543d7915dcaf/model,beam,6
ea03bf07a3ee,2010_russia_wheat_ban|2011_japan_earthquake|2011_queensland_floods|2011_thailand_floods|2014_indonesia_mineral_export_ban|2018_sweden_wildfires|2018_us_china_tariffs,7,259,0,gbrt,0.2282767225001201,True,True,0.23749343892866992,,0,/Users/nataliewang/Projects/supplychain-OSINT/src/shocks/combo_search_runs/combo_ea03bf07a3ee/model,beam,7
f409b02d1d23,2010_russia_wheat_ban|2011_japan_earthquake|2011_queensland_floods|2011_thailand_floods|2017_british_columbia_wildfires|2018_sweden_wildfires|2018_us_china_tariffs,7,264,0,catboost,0.2096088693344111,True,True,0.24954320824580065,,0,/Users/nataliewang/Projects/supplychain-OSINT/src/shocks/combo_search_runs/combo_f409b02d1d23/model,beam,7
c1cdfccf7c7b,2010_russia_wheat_ban|2011_japan_earthquake|2011_queensland_floods|2012_us_droughts|2014_indonesia_mineral_export_ban|2018_sweden_wildfires|2018_us_china_tariffs,7,224,0,gbrt,0.20947414561279934,True,True,0.28061435864360323,,0,/Users/nataliewang/Projects/supplychain-OSINT/src/shocks/combo_search_runs/combo_c1cdfccf7c7b/model,beam,7
a03b6cfb2bd4,2010_russia_wheat_ban|2011_japan_earthquake|2011_queensland_floods|2012_us_droughts|2017_british_columbia_wildfires|2018_sweden_wildfires|2018_us_china_tariffs,7,229,0,rf,0.19738912094270794,True,True,0.41722383848198463,,0,/Users/nataliewang/Projects/supplychain-OSINT/src/shocks/combo_search_runs/combo_a03b6cfb2bd4/model,beam,7
